Código URE;Nome da URE;Código Município;Nome do Município
00001;SAO LUIS;2100204;Alcântara
00001;SAO LUIS;2107506;Paço do Lumiar
00001;SAO LUIS;2109452;Raposa
00001;SAO LUIS;2111201;São José de Ribamar
00001;SAO LUIS;2111300;São Luís
00002;ITAPECURU MIRIM;2100709;Anajatuba
00002;ITAPECURU MIRIM;2101731;Belágua
00002;ITAPECURU MIRIM;2102705;Cantanhede
00002;ITAPECURU MIRIM;2105401;Itapecuru Mirim
00002;ITAPECURU MIRIM;2106631;Matões do Norte
00002;ITAPECURU MIRIM;2106755;Miranda do Norte
00002;ITAPECURU MIRIM;2107209;Nina Rodrigues
00002;ITAPECURU MIRIM;2108801;Pirapemas
00002;ITAPECURU MIRIM;2109304;Presidente Vargas
00002;ITAPECURU MIRIM;2110401;São Benedito do Rio Preto
00002;ITAPECURU MIRIM;2112605;Urbano Santos
00002;ITAPECURU MIRIM;2112704;Vargem Grande
00003;ROSARIO;2101103;Axixá
00003;ROSARIO;2101251;Bacabeira
00003;ROSARIO;2101707;Barreirinhas
00003;ROSARIO;2102374;Cachoeira Grande
00003;ROSARIO;2105005;Humberto de Campos
00003;ROSARIO;2105104;Icatu
00003;ROSARIO;2107100;Morros
00003;ROSARIO;2109205;Presidente Juscelino
00003;ROSARIO;2109403;Primeira Cruz
00003;ROSARIO;2109601;Rosário
00003;ROSARIO;2110203;Santa Rita
00003;ROSARIO;2110278;Santo Amaro do Maranhão
00004;SANTA INES;2100477;Alto Alegre do Pindaré
00004;SANTA INES;2101772;Bela Vista do Maranhão
00004;SANTA INES;2102002;Bom Jardim
00004;SANTA INES;2105153;Igarapé do Meio
00004;SANTA INES;2106904;Monção
00004;SANTA INES;2108504;Pindaré-Mirim
00004;SANTA INES;2108702;Pio XII
00004;SANTA INES;2109908;Santa Inês
00004;SANTA INES;2110005;Santa Luzia
00004;SANTA INES;2111029;São João do Carú
00004;SANTA INES;2111722;Satubinha
