data,casosAcumulados,obitosAcumulados

20/03/2020,1,0

21/03/2020,2,0

22/03/2020,2,0

23/03/2020,8,0

24/03/2020,8,0

25/03/2020,8,0

26/03/2020,10,0

27/03/2020,14,1

28/03/2020,22,1

29/03/2020,23,1

30/03/2020,31,1

31/03/2020,52,2

01/04/2020,71,2

02/04/2020,81,2

03/04/2020,88,4

04/04/2020,96,5

05/04/2020,133,13

06/04/2020,172,15

07/04/2020,230,21

08/04/2020,273,22

09/04/2020,293,24

10/04/2020,344,28

11/04/2020,398,32

12/04/2020,445,36

13/04/2020,478,41

14/04/2020,630,44

15/04/2020,695,44

16/04/2020,797,49

17/04/2020,1040,54

18/04/2020,1205,56

19/04/2020,1320,62

20/04/2020,1396,65

21/04/2020,1604,66

22/04/2020,1757,76

23/04/2020,1951,88

24/04/2020,2105,100

25/04/2020,2223,112

26/04/2020,2410,125

27/04/2020,2524,145

28/04/2020,2804,166

29/04/2020,3190,184

30/04/2020,3506,204

01/05/2020,3581,224

02/05/2020,4040,237

03/05/2020,4227,249

04/05/2020,4530,271

05/05/2020,5028,291

06/05/2020,5389,305

07/05/2020,5909,330

08/05/2020,6765,355

09/05/2020,7599,379
