City Name,State Name,ranking_city,City Name,Dia_mes_ano,Dt,Média de Isolated_city
Zé Doca,Maranhão,98,Zé Doca,06/05/2020,06/05/2020,42.80
Vitorino Freire,Maranhão,145,Vitorino Freire,06/05/2020,06/05/2020,46.20
Vitória do Mearim,Maranhão,112,Vitória do Mearim,06/05/2020,06/05/2020,43.70
Vila Nova dos Martírios,Maranhão,116,Vila Nova dos Martírios,06/05/2020,06/05/2020,44.30
Viana,Maranhão,42,Viana,06/05/2020,06/05/2020,38.90
Vargem Grande,Maranhão,39,Vargem Grande,06/05/2020,06/05/2020,38.50
Urbano Santos,Maranhão,34,Urbano Santos,06/05/2020,06/05/2020,37.60
Tutóia,Maranhão,163,Tutóia,06/05/2020,06/05/2020,47.90
Turilândia,Maranhão,165,Turilândia,06/05/2020,06/05/2020,48.10
Turiaçu,Maranhão,192,Turiaçu,06/05/2020,06/05/2020,51.70
Tuntum,Maranhão,105,Tuntum,06/05/2020,06/05/2020,43.20
Tufilândia,Maranhão,198,Tufilândia,06/05/2020,06/05/2020,52.90
Trizidela do Vale,Maranhão,59,Trizidela do Vale,06/05/2020,06/05/2020,40.50
Timon,Maranhão,108,Timon,06/05/2020,06/05/2020,43.60
Timbiras,Maranhão,185,Timbiras,06/05/2020,06/05/2020,50.50
Tasso Fragoso,Maranhão,13,Tasso Fragoso,06/05/2020,06/05/2020,34.10
Sucupira do Riachão,Maranhão,142,Sucupira do Riachão,06/05/2020,06/05/2020,45.90
Sucupira do Norte,Maranhão,107,Sucupira do Norte,06/05/2020,06/05/2020,43.40
Sítio Novo,Maranhão,144,Sítio Novo,06/05/2020,06/05/2020,46.20
Serrano do Maranhão,Maranhão,32,Serrano do Maranhão,06/05/2020,06/05/2020,37.50
Senador La Rocque,Maranhão,205,Senador La Rocque,06/05/2020,06/05/2020,56.10
Senador Alexandre Costa,Maranhão,3,Senador Alexandre Costa,06/05/2020,06/05/2020,27.90
Satubinha,Maranhão,155,Satubinha,06/05/2020,06/05/2020,47.10
São Vicente Ferrer,Maranhão,46,São Vicente Ferrer,06/05/2020,06/05/2020,39.30
São Raimundo do Doca Bezerra,Maranhão,212,São Raimundo do Doca Bezerra,06/05/2020,06/05/2020,62.00
São Raimundo das Mangabeiras,Maranhão,7,São Raimundo das Mangabeiras,06/05/2020,06/05/2020,31.10
São Pedro dos Crentes,Maranhão,210,São Pedro dos Crentes,06/05/2020,06/05/2020,60.90
São Pedro da Água Branca,Maranhão,123,São Pedro da Água Branca,06/05/2020,06/05/2020,44.70
São Mateus do Maranhão,Maranhão,102,São Mateus do Maranhão,06/05/2020,06/05/2020,43.00
São Luís Gonzaga do Maranhão,Maranhão,149,São Luís Gonzaga do Maranhão,06/05/2020,06/05/2020,46.50
São Luís,Maranhão,201,São Luís,06/05/2020,06/05/2020,54.10
São José dos Basílios,Maranhão,194,São José dos Basílios,06/05/2020,06/05/2020,51.90
São José de Ribamar,Maranhão,197,São José de Ribamar,06/05/2020,06/05/2020,52.40
São João dos Patos,Maranhão,53,São João dos Patos,06/05/2020,06/05/2020,40.00
São João do Soter,Maranhão,18,São João do Soter,06/05/2020,06/05/2020,34.80
São João do Paraíso,Maranhão,111,São João do Paraíso,06/05/2020,06/05/2020,43.60
São João do Caru,Maranhão,75,São João do Caru,06/05/2020,06/05/2020,41.80
São João Batista,Maranhão,206,São João Batista,06/05/2020,06/05/2020,56.10
São Francisco do Maranhão,Maranhão,16,São Francisco do Maranhão,06/05/2020,06/05/2020,34.70
São Francisco do Brejão,Maranhão,72,São Francisco do Brejão,06/05/2020,06/05/2020,41.70
São Félix de Balsas,Maranhão,14,São Félix de Balsas,06/05/2020,06/05/2020,34.40
São Domingos do Maranhão,Maranhão,91,São Domingos do Maranhão,06/05/2020,06/05/2020,42.50
São Domingos do Azeitão,Maranhão,103,São Domingos do Azeitão,06/05/2020,06/05/2020,43.10
São Bernardo,Maranhão,153,São Bernardo,06/05/2020,06/05/2020,46.90
São Bento,Maranhão,127,São Bento,06/05/2020,06/05/2020,44.80
São Benedito do Rio Preto,Maranhão,48,São Benedito do Rio Preto,06/05/2020,06/05/2020,39.80
Santo Antônio dos Lopes,Maranhão,125,Santo Antônio dos Lopes,06/05/2020,06/05/2020,44.80
Santo Amaro do Maranhão,Maranhão,175,Santo Amaro do Maranhão,06/05/2020,06/05/2020,49.20
Santana do Maranhão,Maranhão,213,Santana do Maranhão,06/05/2020,06/05/2020,62.00
Santa Rita,Maranhão,113,Santa Rita,06/05/2020,06/05/2020,43.70
Santa Quitéria do Maranhão,Maranhão,211,Santa Quitéria do Maranhão,06/05/2020,06/05/2020,61.50
Santa Luzia do Paruá,Maranhão,52,Santa Luzia do Paruá,06/05/2020,06/05/2020,39.90
Santa Luzia,Maranhão,89,Santa Luzia,06/05/2020,06/05/2020,42.40
Santa Inês,Maranhão,140,Santa Inês,06/05/2020,06/05/2020,45.70
Santa Helena,Maranhão,176,Santa Helena,06/05/2020,06/05/2020,49.40
Santa Filomena do Maranhão,Maranhão,63,Santa Filomena do Maranhão,06/05/2020,06/05/2020,41.20
Sambaíba,Maranhão,138,Sambaíba,06/05/2020,06/05/2020,45.50
Rosário,Maranhão,44,Rosário,06/05/2020,06/05/2020,39.10
Ribamar Fiquene,Maranhão,90,Ribamar Fiquene,06/05/2020,06/05/2020,42.40
Riachão,Maranhão,31,Riachão,06/05/2020,06/05/2020,37.50
Raposa,Maranhão,178,Raposa,06/05/2020,06/05/2020,49.60
Primeira Cruz,Maranhão,170,Primeira Cruz,06/05/2020,06/05/2020,48.60
Presidente Vargas,Maranhão,174,Presidente Vargas,06/05/2020,06/05/2020,49.10
Presidente Sarney,Maranhão,25,Presidente Sarney,06/05/2020,06/05/2020,36.20
Presidente Médici,Maranhão,94,Presidente Médici,06/05/2020,06/05/2020,42.60
Presidente Juscelino,Maranhão,57,Presidente Juscelino,06/05/2020,06/05/2020,40.40
Presidente Dutra,Maranhão,79,Presidente Dutra,06/05/2020,06/05/2020,42.00
Porto Rico do Maranhão,Maranhão,214,Porto Rico do Maranhão,06/05/2020,06/05/2020,64.90
Porto Franco,Maranhão,22,Porto Franco,06/05/2020,06/05/2020,35.30
Poção de Pedras,Maranhão,55,Poção de Pedras,06/05/2020,06/05/2020,40.10
Pirapemas,Maranhão,24,Pirapemas,06/05/2020,06/05/2020,36.00
Pio XII,Maranhão,143,Pio XII,06/05/2020,06/05/2020,46.00
Pinheiro,Maranhão,159,Pinheiro,06/05/2020,06/05/2020,47.90
Pindaré-Mirim,Maranhão,179,Pindaré-Mirim,06/05/2020,06/05/2020,49.70
Peritoró,Maranhão,109,Peritoró,06/05/2020,06/05/2020,43.60
Peri Mirim,Maranhão,180,Peri Mirim,06/05/2020,06/05/2020,50.00
Penalva,Maranhão,68,Penalva,06/05/2020,06/05/2020,41.40
Pedro do Rosário,Maranhão,28,Pedro do Rosário,06/05/2020,06/05/2020,37.30
Pedreiras,Maranhão,117,Pedreiras,06/05/2020,06/05/2020,44.30
Paulo Ramos,Maranhão,20,Paulo Ramos,06/05/2020,06/05/2020,35.10
Paulino Neves,Maranhão,160,Paulino Neves,06/05/2020,06/05/2020,47.90
Pastos Bons,Maranhão,2,Pastos Bons,06/05/2020,06/05/2020,26.80
