City Name;State Name;ranking_city;City Name;Dia_mes_ano;Dt;Média de Isolated_city
Zé Doca;Maranhão;98;Zé Doca;06/05/2020;06/05/2020;0,4280
Vitorino Freire;Maranhão;145;Vitorino Freire;06/05/2020;06/05/2020;0,4620
Vitória do Mearim;Maranhão;112;Vitória do Mearim;06/05/2020;06/05/2020;0,4370
Vila Nova dos Martírios;Maranhão;116;Vila Nova dos Martírios;06/05/2020;06/05/2020;0,4430
Viana;Maranhão;42;Viana;06/05/2020;06/05/2020;0,3890
Vargem Grande;Maranhão;39;Vargem Grande;06/05/2020;06/05/2020;0,3850
Urbano Santos;Maranhão;34;Urbano Santos;06/05/2020;06/05/2020;0,3760
Tutóia;Maranhão;163;Tutóia;06/05/2020;06/05/2020;0,4790
Turilândia;Maranhão;165;Turilândia;06/05/2020;06/05/2020;0,4810
Turiaçu;Maranhão;192;Turiaçu;06/05/2020;06/05/2020;0,5170
Tuntum;Maranhão;105;Tuntum;06/05/2020;06/05/2020;0,4320
Tufilândia;Maranhão;198;Tufilândia;06/05/2020;06/05/2020;0,5290
Trizidela do Vale;Maranhão;59;Trizidela do Vale;06/05/2020;06/05/2020;0,4050
Timon;Maranhão;108;Timon;06/05/2020;06/05/2020;0,4360
Timbiras;Maranhão;185;Timbiras;06/05/2020;06/05/2020;0,5050
Tasso Fragoso;Maranhão;13;Tasso Fragoso;06/05/2020;06/05/2020;0,3410
Sucupira do Riachão;Maranhão;142;Sucupira do Riachão;06/05/2020;06/05/2020;0,4590
Sucupira do Norte;Maranhão;107;Sucupira do Norte;06/05/2020;06/05/2020;0,4340
Sítio Novo;Maranhão;144;Sítio Novo;06/05/2020;06/05/2020;0,4620
Serrano do Maranhão;Maranhão;32;Serrano do Maranhão;06/05/2020;06/05/2020;0,3750
Senador La Rocque;Maranhão;205;Senador La Rocque;06/05/2020;06/05/2020;0,5610
Senador Alexandre Costa;Maranhão;3;Senador Alexandre Costa;06/05/2020;06/05/2020;0,2790
Satubinha;Maranhão;155;Satubinha;06/05/2020;06/05/2020;0,4710
São Vicente Ferrer;Maranhão;46;São Vicente Ferrer;06/05/2020;06/05/2020;0,3930
São Raimundo do Doca Bezerra;Maranhão;212;São Raimundo do Doca Bezerra;06/05/2020;06/05/2020;0,6200
São Raimundo das Mangabeiras;Maranhão;7;São Raimundo das Mangabeiras;06/05/2020;06/05/2020;0,3110
São Pedro dos Crentes;Maranhão;210;São Pedro dos Crentes;06/05/2020;06/05/2020;0,6090
São Pedro da Água Branca;Maranhão;123;São Pedro da Água Branca;06/05/2020;06/05/2020;0,4470
São Mateus do Maranhão;Maranhão;102;São Mateus do Maranhão;06/05/2020;06/05/2020;0,4300
