codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacao
210005,Açailândia,21001,ACAILANDIA,112445
210010,Afonso Cunha,21005,CAXIAS,6524
210015,Água Doce do Maranhão,21006,CHAPADINHA,12571
210020,Alcântara,21016,SAO LUIS,22097
210030,Aldeias Altas,21005,CAXIAS,26532
210040,Altamira do Maranhão,21002,BACABAL,8128
210043,Alto Alegre do Maranhão,21007,CODO,27053
210047,Alto Alegre do Pindaré,21014,SANTA INES,31919
210050,Alto Parnaíba,21003,BALSAS,11190
210055,Amapá do Maranhão,21019,ZE DOCA,6962
210060,Amarante do Maranhão,21008,IMPERATRIZ,41435
210070,Anajatuba,21009,ITAPECURU MIRIM,26803
210080,Anapurus,21006,CHAPADINHA,15732
210083,Apicum-Açu,21011,PINHEIRO,17239
210087,Araguanã,21019,ZE DOCA,15426
210090,Araioses,21006,CHAPADINHA,46440
210095,Arame,21004,BARRA DO CORDA,32701
210100,Arari,21009,ITAPECURU MIRIM,29848
210110,Axixá,21013,ROSARIO,12130
210120,Bacabal,21002,BACABAL,104949
210125,Bacabeira,21013,ROSARIO,17055
210130,Bacuri,21011,PINHEIRO,18582
210135,Bacurituba,21018,VIANA,5644
210140,Balsas,21003,BALSAS,94887
210150,Barão de Grajaú,21015,SAO JOAO DOS PATOS,18820
210160,Barra do Corda,21004,BARRA DO CORDA,88212
210170,Barreirinhas,21013,ROSARIO,62528
210173,Belágua,21009,ITAPECURU MIRIM,7469
210177,Bela Vista do Maranhão,21014,SANTA INES,11209
210180,Benedito Leite,21015,SAO JOAO DOS PATOS,5632
210190,Bequimão,21011,PINHEIRO,21280
210193,Bernardo do Mearim,21010,PEDREIRAS,6043
210197,Boa Vista do Gurupi,21019,ZE DOCA,9287
210200,Bom Jardim,21014,SANTA INES,41630
210203,Bom Jesus das Selvas,21001,ACAILANDIA,34028
210207,Bom Lugar,21002,BACABAL,16294
210210,Brejo,21006,CHAPADINHA,36397
210215,Brejo de Areia,21002,BACABAL,9188
210220,Buriti,21005,CAXIAS,28678
210230,Buriti Bravo,21015,SAO JOAO DOS PATOS,23884
210232,Buriticupu,21001,ACAILANDIA,72358
210235,Buritirana,21008,IMPERATRIZ,15430
210237,Cachoeira Grande,21013,ROSARIO,9431
210240,Cajapió,21018,VIANA,11177
210250,Cajari,21018,VIANA,19379
210255,Campestre do Maranhão,21008,IMPERATRIZ,14374
210260,Cândido Mendes,21019,ZE DOCA,20178
210270,Cantanhede,21009,ITAPECURU MIRIM,21995
210275,Capinzal do Norte,21012,PRESIDENTE DUTRA,10934
210280,Carolina,21003,BALSAS,24322
210290,Carutapera,21019,ZE DOCA,23807
210300,Caxias,21005,CAXIAS,164880
210310,Cedral,21011,PINHEIRO,10675
210312,Central do Maranhão,21011,PINHEIRO,8673
210315,Centro do Guilherme,21019,ZE DOCA,13458
210317,Centro Novo do Maranhão,21019,ZE DOCA,21622
210320,Chapadinha,21006,CHAPADINHA,79675
210325,Cidelândia,21001,ACAILANDIA,14697
210330,Codó,21007,CODO,122859
210340,Coelho Neto,21005,CAXIAS,49435
210350,Colinas,21015,SAO JOAO DOS PATOS,41178
210355,Conceição do Lago-Açu,21002,BACABAL,16237
210360,Coroatá,21007,CODO,65296
210370,Cururupu,21011,PINHEIRO,32695
210375,Davinópolis,21008,IMPERATRIZ,12908
210380,Dom Pedro,21012,PRESIDENTE DUTRA,23350
210390,Duque Bacelar,21005,CAXIAS,11349
210400,Esperantinópolis,21010,PEDREIRAS,17241
210405,Estreito,21008,IMPERATRIZ,41946
210407,Feira Nova do Maranhão,21003,BALSAS,8504
210408,Fernando Falcão,21004,BARRA DO CORDA,10360
210409,Formosa da Serra Negra,21003,BALSAS,19089
210410,Fortaleza dos Nogueiras,21003,BALSAS,12631
210420,Fortuna,21012,PRESIDENTE DUTRA,15552
210430,Godofredo Viana,21019,ZE DOCA,11819
210440,Gonçalves Dias,21012,PRESIDENTE DUTRA,17934
210450,Governador Archer,21012,PRESIDENTE DUTRA,10840
210455,Governador Edison Lobão,21008,IMPERATRIZ,18296
210460,Governador Eugênio Barros,21012,PRESIDENTE DUTRA,16828
210462,Governador Luiz Rocha,21012,PRESIDENTE DUTRA,7807
210465,Governador Newton Bello,21014,SANTA INES,10180
210467,Governador Nunes Freire,21019,ZE DOCA,25577
210470,Graça Aranha,21012,PRESIDENTE DUTRA,6262
210480,Grajaú,21004,BARRA DO CORDA,69527
210490,Guimarães,21011,PINHEIRO,12030
210500,Humberto de Campos,21013,ROSARIO,28717
210510,Icatu,21013,ROSARIO,27113
210515,Igarapé do Meio,21014,SANTA INES,14177
210520,Igarapé Grande,21010,PEDREIRAS,11320
210530,Imperatriz,21008,IMPERATRIZ,258682
210535,Itaipava do Grajaú,21004,BARRA DO CORDA,16057
210540,Itapecuru Mirim,21009,ITAPECURU MIRIM,68203
210542,Itinga do Maranhão,21001,ACAILANDIA,26000
210545,Jatobá,21015,SAO JOAO DOS PATOS,10153
210547,Jenipapo dos Vieiras,21004,BARRA DO CORDA,16515
210550,João Lisboa,21008,IMPERATRIZ,23632
210560,Joselândia,21012,PRESIDENTE DUTRA,16168
210565,Junco do Maranhão,21019,ZE DOCA,3432
210570,Lago da Pedra,21010,PEDREIRAS,50266
210580,Lago do Junco,21010,PEDREIRAS,10840
210590,Lago Verde,21002,BACABAL,16257
210592,Lagoa do Mato,21015,SAO JOAO DOS PATOS,11250
210594,Lago dos Rodrigues,21010,PEDREIRAS,8873
210596,Lagoa Grande do Maranhão,21010,PEDREIRAS,11394
210598,Lajeado Novo,21008,IMPERATRIZ,7550
210600,Lima Campos,21010,PEDREIRAS,11893
