regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude
Nordeste,MA,Açailândia,21,210005,21001,ACAILANDIA
Nordeste,MA,Afonso Cunha,21,210010,21005,CAXIAS
Nordeste,MA,Água Doce do Maranhão,21,210015,21006,CHAPADINHA
Nordeste,MA,Alcântara,21,210020,21016,SAO LUIS
Nordeste,MA,Aldeias Altas,21,210030,21005,CAXIAS
Nordeste,MA,Altamira do Maranhão,21,210040,21002,BACABAL
Nordeste,MA,Alto Alegre do Maranhão,21,210043,21007,CODO
Nordeste,MA,Alto Alegre do Pindaré,21,210047,21014,SANTA INES
Nordeste,MA,Alto Parnaíba,21,210050,21003,BALSAS
Nordeste,MA,Amapá do Maranhão,21,210055,21019,ZE DOCA
Nordeste,MA,Amarante do Maranhão,21,210060,21008,IMPERATRIZ
Nordeste,MA,Anajatuba,21,210070,21009,ITAPECURU MIRIM
Nordeste,MA,Anapurus,21,210080,21006,CHAPADINHA
Nordeste,MA,Apicum-Açu,21,210083,21011,PINHEIRO
Nordeste,MA,Araguanã,21,210087,21019,ZE DOCA
Nordeste,MA,Araioses,21,210090,21006,CHAPADINHA
Nordeste,MA,Arame,21,210095,21004,BARRA DO CORDA
Nordeste,MA,Arari,21,210100,21009,ITAPECURU MIRIM
Nordeste,MA,Axixá,21,210110,21013,ROSARIO
Nordeste,MA,Bacabal,21,210120,21002,BACABAL
Nordeste,MA,Bacabeira,21,210125,21013,ROSARIO
Nordeste,MA,Bacuri,21,210130,21011,PINHEIRO
Nordeste,MA,Bacurituba,21,210135,21018,VIANA
Nordeste,MA,Balsas,21,210140,21003,BALSAS
Nordeste,MA,Barão de Grajaú,21,210150,21015,SAO JOAO DOS PATOS
Nordeste,MA,Barra do Corda,21,210160,21004,BARRA DO CORDA
Nordeste,MA,Barreirinhas,21,210170,21013,ROSARIO
Nordeste,MA,Belágua,21,210173,21009,ITAPECURU MIRIM
Nordeste,MA,Bela Vista do Maranhão,21,210177,21014,SANTA INES
Nordeste,MA,Benedito Leite,21,210180,21015,SAO JOAO DOS PATOS
Nordeste,MA,Bequimão,21,210190,21011,PINHEIRO
Nordeste,MA,Bernardo do Mearim,21,210193,21010,PEDREIRAS
Nordeste,MA,Boa Vista do Gurupi,21,210197,21019,ZE DOCA
Nordeste,MA,Bom Jardim,21,210200,21014,SANTA INES
Nordeste,MA,Bom Jesus das Selvas,21,210203,21001,ACAILANDIA
Nordeste,MA,Bom Lugar,21,210207,21002,BACABAL
Nordeste,MA,Brejo,21,210210,21006,CHAPADINHA
Nordeste,MA,Brejo de Areia,21,210215,21002,BACABAL
Nordeste,MA,Buriti,21,210220,21005,CAXIAS
Nordeste,MA,Buriti Bravo,21,210230,21015,SAO JOAO DOS PATOS
Nordeste,MA,Buriticupu,21,210232,21001,ACAILANDIA
Nordeste,MA,Buritirana,21,210235,21008,IMPERATRIZ
Nordeste,MA,Cachoeira Grande,21,210237,21013,ROSARIO
Nordeste,MA,Cajapió,21,210240,21018,VIANA
Nordeste,MA,Cajari,21,210250,21018,VIANA
Nordeste,MA,Campestre do Maranhão,21,210255,21008,IMPERATRIZ
Nordeste,MA,Cândido Mendes,21,210260,21019,ZE DOCA
Nordeste,MA,Cantanhede,21,210270,21009,ITAPECURU MIRIM
Nordeste,MA,Capinzal do Norte,21,210275,21012,PRESIDENTE DUTRA
Nordeste,MA,Carolina,21,210280,21003,BALSAS
Nordeste,MA,Carutapera,21,210290,21019,ZE DOCA
Nordeste,MA,Caxias,21,210300,21005,CAXIAS
Nordeste,MA,Cedral,21,210310,21011,PINHEIRO
Nordeste,MA,Central do Maranhão,21,210312,21011,PINHEIRO
Nordeste,MA,Centro do Guilherme,21,210315,21019,ZE DOCA
Nordeste,MA,Centro Novo do Maranhão,21,210317,21019,ZE DOCA
Nordeste,MA,Chapadinha,21,210320,21006,CHAPADINHA
Nordeste,MA,Cidelândia,21,210325,21001,ACAILANDIA
Nordeste,MA,Codó,21,210330,21007,CODO
Nordeste,MA,Coelho Neto,21,210340,21005,CAXIAS
Nordeste,MA,Colinas,21,210350,21015,SAO JOAO DOS PATOS
Nordeste,MA,Conceição do Lago-Açu,21,210355,21002,BACABAL
Nordeste,MA,Coroatá,21,210360,21007,CODO
Nordeste,MA,Cururupu,21,210370,21011,PINHEIRO
